"S.No","Hostname","User","AD_Name","AD_OU","CrowdStrike","CrowdStrike Date","CrowdStrike Version","Netskope","Netskope Date","Netskope Version","Encryption","Patch","Winver","WinBid"
"1","ADBASICS","bob","Bob","local -> thm -> THM -> Research and Development","Not Installed","N/A","N/A","Not Installed","N/A","N/A","C not encrypted","2021-03-17","Microsoft Windows Server 2019 Datacenter","1809"
"2","ADBASICS","christine","Christine","local -> thm -> THM -> Sales","Not Installed","N/A","N/A","Not Installed","N/A","N/A","C not encrypted","2021-03-17","Microsoft Windows Server 2019 Datacenter","1809"
"3","ADBASICS","claire","Claire","local -> thm -> THM -> IT","Not Installed","N/A","N/A","Not Installed","N/A","N/A","C not encrypted","2021-03-17","Microsoft Windows Server 2019 Datacenter","1809"
"4","ADBASICS","daniel","Daniel","local -> thm -> THM -> Management","Not Installed","N/A","N/A","Not Installed","N/A","N/A","C not encrypted","2021-03-17","Microsoft Windows Server 2019 Datacenter","1809"
"5","ADBASICS","mark","Mark","local -> thm -> THM -> Marketing","Not Installed","N/A","N/A","Not Installed","N/A","N/A","C not encrypted","2021-03-17","Microsoft Windows Server 2019 Datacenter","1809"
"6","ADBASICS","mary","Mary","local -> thm -> THM -> IT","Not Installed","N/A","N/A","Not Installed","N/A","N/A","C not encrypted","2021-03-17","Microsoft Windows Server 2019 Datacenter","1809"
"7","ADBASICS","phillip","Phillip","local -> thm -> THM -> IT","Not Installed","N/A","N/A","Not Installed","N/A","N/A","C not encrypted","2021-03-17","Microsoft Windows Server 2019 Datacenter","1809"
"8","ADBASICS","robert","Robert","local -> thm -> THM -> Sales","Not Installed","N/A","N/A","Not Installed","N/A","N/A","C not encrypted","2021-03-17","Microsoft Windows Server 2019 Datacenter","1809"
"9","ADBASICS","sophie","Sophie","local -> thm -> THM -> Sales","Not Installed","N/A","N/A","Not Installed","N/A","N/A","C not encrypted","2021-03-17","Microsoft Windows Server 2019 Datacenter","1809"
"10","ADBASICS","thomas","Thomas","local -> thm -> THM -> Sales","Not Installed","N/A","N/A","Not Installed","N/A","N/A","C not encrypted","2021-03-17","Microsoft Windows Server 2019 Datacenter","1809"
